#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string
#default,_result,,,,,
,result,table,_time,_value,_field,_measurement
,,0,2024-06-12T00:00:00Z,59.0,perc,cpu
,,0,2024-06-12T00:01:00Z,60.41679208288182,perc,cpu
,,0,2024-06-12T00:02:00Z,59.83346831242716,perc,cpu
,,0,2024-06-12T00:03:00Z,51.24991286750261,perc,cpu
,,0,2024-06-12T00:04:00Z,45.66600999137203,perc,cpu
,,0,2024-06-12T00:05:00Z,55.08164402387275,perc,cpu
,,0,2024-06-12T00:06:00Z,38.496699433564984,perc,cpu
,,0,2024-06-12T00:07:00Z,64.91106084984548,perc,cpu
,,0,2024-06-12T00:08:00Z,38.324613095016375,perc,cpu
,,0,2024-06-12T00:09:00Z,47.73724121630054,perc,cpu
,,0,2024-06-12T00:10:00Z,35.148830517794316,perc,cpu
,,0,2024-06-12T00:11:00Z,48.55926659234892,perc,cpu
,,0,2024-06-12T00:12:00Z,45.96843535337152,perc,cpu
,,0,2024-06-12T00:13:00Z,55.37622306653727,perc,cpu
,,0,2024-06-12T00:14:00Z,41.78251638140336,perc,cpu
,,0,2024-06-12T00:15:00Z,64.18720236291645,perc,cpu
,,0,2024-06-12T00:16:00Z,46.590168522804504,perc,cpu
,,0,2024-06-12T00:17:00Z,36.991302850844626,perc,cpu
,,0,2024-06-12T00:18:00Z,41.39049384599782,perc,cpu
,,0,2024-06-12T00:19:00Z,44.78763054740234,perc,cpu
,,0,2024-06-12T00:20:00Z,72.18260256521684,perc,cpu
,,0,2024-06-12T00:21:00Z,40.575300111304855,perc,cpu
,,0,2024-06-12T00:22:00Z,57.965614029751904,perc,cpu
,,0,2024-06-12T00:23:00Z,40.35343582720702,perc,cpu
,,0,2024-06-12T00:24:00Z,74.73865770304,perc,cpu
,,0,2024-06-12T00:25:00Z,58.121172579306155,perc,cpu
,,0,2024-06-12T00:26:00Z,49.50087413051011,perc,cpu
,,0,2024-06-12T00:27:00Z,61.87765681316058,perc,cpu
,,0,2024-06-12T00:28:00Z,75.2514158951076,perc,cpu
,,0,2024-06-12T00:29:00Z,65.62204748465443,perc,cpu
,,0,2024-06-12T00:30:00Z,68.98944855943567,perc,cpu
,,0,2024-06-12T00:31:00Z,72.35351699505384,perc,cpu
,,0,2024-06-12T00:32:00Z,54.71415159346626,perc,cpu
,,0,2024-06-12T00:33:00Z,65.07125211111463,perc,cpu
,,0,2024-06-12T00:34:00Z,66.42471928678899,perc,cpu
,,0,2024-06-12T00:35:00Z,73.77445486921894,perc,cpu
,,0,2024-06-12T00:36:00Z,50.12036164438395,perc,cpu
,,0,2024-06-12T00:37:00Z,76.46234346253532,perc,cpu
,,0,2024-06-12T00:38:00Z,57.80030526492246,perc,cpu
,,0,2024-06-12T00:39:00Z,81.13415311021585,perc,cpu
,,0,2024-06-12T00:40:00Z,66.46379420061928,perc,cpu
,,0,2024-06-12T00:41:00Z,79.78913690766444,perc,cpu
,,0,2024-06-12T00:42:00Z,74.11009079768027,perc,cpu
,,0,2024-06-12T00:43:00Z,58.42656665693039,perc,cpu
,,0,2024-06-12T00:44:00Z,47.73847651641127,perc,cpu
,,0,2024-06-12T00:45:00Z,74.04573367630445,perc,cpu
,,0,2024-06-12T00:46:00Z,86.34825273007613,perc,cpu
,,0,2024-06-12T00:47:00Z,71.64594958821698,perc,cpu
,,0,2024-06-12T00:48:00Z,68.93874150161614,perc,cpu
,,0,2024-06-12T00:49:00Z,53.22654708456244,perc,cpu
,,0,2024-06-12T00:50:00Z,63.50928633736683,perc,cpu
,,0,2024-06-12T00:51:00Z,68.78688066859931,perc,cpu
,,0,2024-06-12T00:52:00Z,73.05925291693465,perc,cpu
,,0,2024-06-12T00:53:00Z,54.32632737260046,perc,cpu
,,0,2024-06-12T00:54:00Z,88.58802979842176,perc,cpu
,,0,2024-06-12T00:55:00Z,87.8442874504563,perc,cpu
,,0,2024-06-12T00:56:00Z,77.09502909821487,perc,cpu
,,0,2024-06-12T00:57:00Z,87.34018504446061,perc,cpu
,,0,2024-06-12T00:58:00Z,78.57968714458264,perc,cpu
,,0,2024-06-12T00:59:00Z,54.81346882553758,perc,cpu
,,0,2024-06-12T01:00:00Z,79.04146510435467,perc,cpu
,,0,2024-06-12T01:01:00Z,68.26361260619859,perc,cpu
,,0,2024-06-12T01:02:00Z,66.47984958198548,perc,cpu
,,0,2024-06-12T01:03:00Z,71.69011592554693,perc,cpu
,,0,2024-06-12T01:04:00Z,71.89435319033743,perc,cpu
,,0,2024-06-12T01:05:00Z,91.09250460568032,perc,cpu
,,0,2024-06-12T01:06:00Z,55.284515092548105,perc,cpu
,,0,2024-06-12T01:07:00Z,78.47033127887241,perc,cpu
,,0,2024-06-12T01:08:00Z,82.64990151437954,perc,cpu
,,0,2024-06-12T01:09:00Z,79.82317588494737,perc,cpu
,,0,2024-06-12T01:10:00Z,78.99010622647975,perc,cpu
,,0,2024-06-12T01:11:00Z,81.15064613829439,perc,cpu
,,0,2024-06-12T01:12:00Z,89.30475099602052,perc,cpu
,,0,2024-06-12T01:13:00Z,86.452377964003,perc,cpu
,,0,2024-06-12T01:14:00Z,83.59348600720902,perc,cpu
,,0,2024-06-12T01:15:00Z,53.7280359026344,perc,cpu
,,0,2024-06-12T01:16:00Z,74.85599025020616,perc,cpu
,,0,2024-06-12T01:17:00Z,93.97731348317848,perc,cpu
,,0,2024-06-12T01:18:00Z,88.09197187801887,perc,cpu
,,0,2024-06-12T01:19:00Z,69.19993356378222,perc,cpu
,,0,2024-06-12T01:20:00Z,61.30116853096976,perc,cpu
,,0,2024-06-12T01:21:00Z,61.39564863987057,perc,cpu
